"key";"ca";"cs";"de";"en";"es";"fa";"fr";"it";"ja";"nl";"pl";"pt";"pt_BR";"ru";"sk";"sv";"tr";"uk";"zh_Hans"
"active_wireframe_add_chapter";"";"";"";"Add Chapter";"";"";"Ajouter un chapitre";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_add_coverage";"";"";"";"Add covers";"";"";"Ajouter les couvertures";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_add_page";"";"";"";"Add page";"";"";"Ajouter une page";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_assemble_catalog";"";"";"";"Create my document";"";"";"Créer mon document";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_back";"";"";"";"Previous";"";"";"Précédent";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_bottom";"";"";"";"Low";"";"";"Bas";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_catalog";"";"";"";"catalog";"";"";"catalogue";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_chapter";"";"";"";"chapter";"";"";"chapitre";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_chapters";"";"";"";"Chapters";"";"";"Chapitres";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_chapters_pages";"";"";"";"Chapters & Pages";"";"";"Chapitres & Pages";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_configuration";"";"";"";"Configuration";"";"";"Configuration";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_doctype_catalog";"";"";"";"> Create a new catalog";"";"";"> Créer un nouveau catalogue";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_doctype_chapter";"";"";"";"> Catalog > Add a chapter";"";"";"> Catalogue > Ajouter un chapitre";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_doctype_page";"";"";"";"> Catalog > Add a page";"";"";"> Catalogue > Ajouter une page";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_document_validated";;;;"Validated document";;;"Document validée";;;;;;;;;;;;
"active_wireframe_enlarge";"";"";"";"Enlarge the page";"";"";"Agrandir la page";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_error_create_pdf";"";"";"";"An error occured when creating the PDF. If the problem persists thank you to contact support.";"";"";"Une erreur est survenue lors de la création du PDF. Si le problème persiste merci de contacter le support.";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_error_mkdir";"";"";"";"An error occurred while creating a folder. Thank you to correct the write access to the folder : /website/var. If the problem persists thank you to contact support.";"";"";"Une erreur est survenue lors de la création d'un dossier. Merci de corriger les droit d'accès en écriture au dossier /website/var. Si le problème persiste merci de contacter le support.";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_error_reloadcatalog";"";"";"";"An error occurred while generating pages, thank you to contact support";"";"";"Une erreur est survenue lors de la génération des pages, merci de contacter le support";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_error_templates";"";"";"";"No template found for your page format. Thank you to upload your page templates, PDF format, in the folder 'gabarits-de-pages' folder placed in the Files section";"";"";"Aucun template trouvé pour votre format de pages. Merci de déposer vos gabarits de page, au format PDF, dans le répertoire 'gabarits-de-pages' présent dans la partie Fichiers";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_error_uploadfiles";"";"";"";"An error occurred when sending your files. If the problem persists, thank you to contact support.";"";"";"Une erreur est survenu lors de l'envoie de vos fichiers. Si le problème persiste, merci de contacter le support.";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_first_cover";"";"";"";"First cover";"";"";"1ere-de-couv";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_formats";"";"";"";"formats";"";"";"formats";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_format_personalize";"";"";"";"Custom size";"";"";"Format personnalisé";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_form_success";"";"";"";"Congratulations ! your catalog been created.";"";"";"Félicitation ! votre catalogue à bien été créé.";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_fourth_cover";"";"";"";"Last cover";"";"";"4eme-de-couv";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_generate";"";"";"";"Generate";"";"";"Générer";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_height";"";"";"";"height";"";"";"hauteur";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_hide_guides";"";"";"";"Hide Guides";"";"";"Masquer les repères";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_information";"";"";"";"Information";"";"";"Information";"";"";"";"";"";"";"";"";"";"";"";""
"active_wireframe_information_chapters_pages";"";"";"";"Add chapters and pages out of chapters.";"";"";" Ajoutez chapitres et pages hors chapitres.";"";"";"";"";"";"";"";"";"";"";"";""
